State,State ab,RTO,RT Office
AN,Andaman and Nicobar,1,Port Blair
AP,Andhra Pradesh,39,Tirupati district
AP,Andhra Pradesh,39,Krishna district
AP,Andhra Pradesh,39,NTR district
AP,Andhra Pradesh,39,Vizianagaram district
AP,Andhra Pradesh,39,Visakhapatnam district
AP,Andhra Pradesh,39,Alluri Sitharama Raju district
AP,Andhra Pradesh,39,Anakapalli district
AP,Andhra Pradesh,39,Kakinada district
AP,Andhra Pradesh,39,East Godavari district
AP,Andhra Pradesh,39,Konaseema district
AP,Andhra Pradesh,39,Eluru district
AP,Andhra Pradesh,39,West Godavari district
AP,Andhra Pradesh,39,Palnadu district
AP,Andhra Pradesh,39,Guntur district
AP,Andhra Pradesh,39,Bapatla district
AP,Andhra Pradesh,39,Prakasam district
AP,Andhra Pradesh,39,hbt
AP,Andhra Pradesh,39,Kurnool district
AP,Andhra Pradesh,39,Nandyal district
AP,Andhra Pradesh,39,Anantapur district
AP,Andhra Pradesh,39,Sri Sathya Sai district
AP,Andhra Pradesh,39,YSR district
AP,Andhra Pradesh,39,Annamayya district
AP,Andhra Pradesh,39,Parvathipuram Manyam district
AP,Andhra Pradesh,39,Srikakulam district
AP,Andhra Pradesh,39,Chittoor district
AP,Andhra Pradesh,2,Anantapur
AP,Andhra Pradesh,3,"Chittoor,ÿTirupati"
AP,Andhra Pradesh,4,Kadapa
AP,Andhra Pradesh,5,Kakinada
AP,Andhra Pradesh,6,Kakinada
AP,Andhra Pradesh,7,Guntur
AP,Andhra Pradesh,8,Guntur
AP,Andhra Pradesh,16,Vijayawada
AP,Andhra Pradesh,18,Vijayawada
AP,Andhra Pradesh,21,Kurnool
AP,Andhra Pradesh,26,Nellore
AP,Andhra Pradesh,27,Ongole
AP,Andhra Pradesh,30,Srikakulam
AP,Andhra Pradesh,31,Visakhapatnam
AP,Andhra Pradesh,32,Visakhapatnam
AP,Andhra Pradesh,33,"Gajuwaka,ÿVisakhapatnam"
AP,Andhra Pradesh,34,Narsipatnam
AP,Andhra Pradesh,35,Vizianagaram
AP,Andhra Pradesh,37,Eluru
AR,Arunachal Pradesh,1,Itanagar
AR,Arunachal Pradesh,2,Itanagar
AR,Arunachal Pradesh,3,Tawang
AR,Arunachal Pradesh,4,Bomdila
AR,Arunachal Pradesh,5,Seppa
AR,Arunachal Pradesh,6,Ziro
AR,Arunachal Pradesh,7,Daporijo
AR,Arunachal Pradesh,8,Along
AR,Arunachal Pradesh,9,Pasighat
AR,Arunachal Pradesh,10,Anini
AR,Arunachal Pradesh,11,Tezu
AR,Arunachal Pradesh,12,Changlang
AR,Arunachal Pradesh,13,Khonsa
AR,Arunachal Pradesh,14,Yingkiong
AR,Arunachal Pradesh,15,Koloriang
AR,Arunachal Pradesh,16,Roing
AR,Arunachal Pradesh,17,Hawai
AR,Arunachal Pradesh,19,Palin
AR,Arunachal Pradesh,20,Namsai
AR,Arunachal Pradesh,22,Siji
AS,Assam,1,Guwahati
AS,Assam,2,Nagaon
AS,Assam,4,Jorhat
AS,Assam,3,Sivasagar
AS,Assam,5,Golaghat
AS,Assam,6,Dibrugarh
AS,Assam,7,Lakhimpur
AS,Assam,8,Haflong
AS,Assam,9,Karbi Anglong
AS,Assam,10,Karimganj
AS,Assam,11,Silchar
AS,Assam,12,Tezpur
AS,Assam,13,Darrang
AS,Assam,14,Nalbari
AS,Assam,15,Barpeta
AS,Assam,16,Kokrajhar
AS,Assam,17,Dhubri
AS,Assam,18,Goalpara
AS,Assam,19,Bongaigaon
AS,Assam,20,Assam State Transport Corporation
AS,Assam,21,Chirang
AS,Assam,22,Dhemaji
AS,Assam,23,Tinsukia
AS,Assam,24,Hailakandi
AS,Assam,25,Kamrup
AS,Assam,26,Chirang
AS,Assam,27,Udalguri
AS,Assam,29,Majuli
AS,Assam,30,Assam Police
AS,Assam,31,Hojai
AS,Assam,32,Biswanath Chariali
AS,Assam,33,Charaideo
AS,Assam,34,Hatsingimari
BR,Bihar,1,Patna
BR,Bihar,2,Gaya
BR,Bihar,3,Arrah
BR,Bihar,4,Chhapra
BR,Bihar,5,Motihari
BR,Bihar,6,Muzaffarpur
BR,Bihar,7,Darbhanga
BR,Bihar,8,Munger
BR,Bihar,9,Begusarai
BR,Bihar,10,Bhagalpur
BR,Bihar,13,Hazaribagh
BR,Bihar,14,Ranchi
BR,Bihar,15,Daltonganj
BR,Bihar,16,Jamshedpur
BR,Bihar,17,Dhanbad
BR,Bihar,18,Chaibasa
BR,Bihar,19,Saharsa
BR,Bihar,20,Bokaro
BR,Bihar,21,Bihar Sharif
BR,Bihar,22,Bettiah
BR,Bihar,23,Giridih
BR,Bihar,24,Dehri
BR,Bihar,25,Jehanabad
BR,Bihar,26,Aurangabad
BR,Bihar,27,Nawada
BR,Bihar,28,Gopalganj
BR,Bihar,29,Siwan
BR,Bihar,30,Sitamarhi
BR,Bihar,31,Hajipur
BR,Bihar,32,Madhubani
BR,Bihar,33,Samastipur
BR,Bihar,34,Khagaria
BR,Bihar,35,Sahibganj
BR,Bihar,36,Godda
BR,Bihar,37,Kishanganj
BR,Bihar,38,Araria
BR,Bihar,39,Katihar
BR,Bihar,40,Deoghar
BR,Bihar,41,Gumla
BR,Bihar,42,Lohardaga
BR,Bihar,43,Madhepura
BR,Bihar,44,Buxar
BR,Bihar,45,Bhabua
BR,Bihar,46,Jamui
BR,Bihar,47,Koderma
BR,Bihar,50,Supaul
BR,Bihar,51,Banka
BR,Bihar,52,Sheikhpura
BR,Bihar,53,Lakhisarai
BR,Bihar,55,Sheohar
BR,Bihar,56,Arwal
BR,Bihar,57,Sasaram
CG,Chhattisgarh,1,Governor of Chhattisgarh
CG,Chhattisgarh,2,Government of Chhattisgarh
CG,Chhattisgarh,3,Chhattisgarh Police
CG,Chhattisgarh,4,Raipur
CG,Chhattisgarh,5,Dhamtari
CG,Chhattisgarh,6,Mahasamund
CG,Chhattisgarh,7,Durg
CG,Chhattisgarh,8,Rajnandgaon
CG,Chhattisgarh,9,Kawardha
CG,Chhattisgarh,10,Bilaspur
CG,Chhattisgarh,11,Janjgir
CG,Chhattisgarh,12,Korba
CG,Chhattisgarh,13,Raigarh
CG,Chhattisgarh,14,Jashpur Nagar
CG,Chhattisgarh,15,Ambikapur
CG,Chhattisgarh,16,Baikunthpur
CG,Chhattisgarh,17,Jagdalpur
CG,Chhattisgarh,18,Dantewada
CG,Chhattisgarh,19,Kanker
CG,Chhattisgarh,20,Bijapur
CG,Chhattisgarh,21,Narayanpur
CG,Chhattisgarh,22,Baloda Bazar
CG,Chhattisgarh,23,Gariaband
CG,Chhattisgarh,24,Balod
CG,Chhattisgarh,25,Bemetara
CG,Chhattisgarh,26,Sukma
CG,Chhattisgarh,27,Kondagaon
CG,Chhattisgarh,28,Mungeli
CG,Chhattisgarh,29,Surajpur
CG,Chhattisgarh,30,Balrampur
DL,Delhi,1,Civil Lines
DL,Delhi,2,Indraprastha Depot
DL,Delhi,3,Sheikh Sarai
DL,Delhi,4,Janakpuri
DL,Delhi,5,Loni Road
DL,Delhi,6,"Sarai Kale Khan, Delhi"
DL,Delhi,7,Mayur Vihar
DL,Delhi,8,Wazirpur
DL,Delhi,9,"Dwarka, Delhi"
DL,Delhi,10,Raja Garden
DL,Delhi,11,Rohini
DL,Delhi,12,Vasant Vihar
DL,Delhi,13,Surajmal Vihar
GA,Goa,1,Panaji
GA,Goa,2,Margao
GA,Goa,3,Mapusa
GA,Goa,4,Bicholim
GA,Goa,5,Ponda
GA,Goa,6,Vasco da Gama
GA,Goa,7,Panaji
GA,Goa,8,Margao
GA,Goa,9,Quepem
GA,Goa,10,Canacona
GA,Goa,11,Pernem
GA,Goa,12,Dharbandora
GJ,Gujarat,1,Ahmedabad City(West)
GJ,Gujarat,2,Mehsana
GJ,Gujarat,3,Rajkot
GJ,Gujarat,4,Bhavnagar
GJ,Gujarat,5,Suratÿcity
GJ,Gujarat,6,Vadodaraÿcity
GJ,Gujarat,7,Nadiad
GJ,Gujarat,8,Palanpur
GJ,Gujarat,9,Himmatnagar
GJ,Gujarat,10,Jamnagar
GJ,Gujarat,11,Junagadh
GJ,Gujarat,12,Bhuj
GJ,Gujarat,13,Surendranagar
GJ,Gujarat,14,Amreli
GJ,Gujarat,15,Valsad
GJ,Gujarat,16,Bharuch
GJ,Gujarat,17,Godhra
GJ,Gujarat,18,Gandhinagar
GJ,Gujarat,19,Bardoli
GJ,Gujarat,20,Dahod
GJ,Gujarat,21,Navsari
GJ,Gujarat,22,Rajpipla
GJ,Gujarat,23,Anand
GJ,Gujarat,24,Patan
GJ,Gujarat,25,Porbandar
GJ,Gujarat,26,Vyara
GJ,Gujarat,27,"Ahmedabad(East),ÿVastral"
GJ,Gujarat,28,"Pal, Suratÿrural"
GJ,Gujarat,29,Vadodaraÿrural
GJ,Gujarat,30,Waghai
GJ,Gujarat,31,Modasa
GJ,Gujarat,32,Veraval
GJ,Gujarat,33,Botad
GJ,Gujarat,34,Chhota Udaipur
GJ,Gujarat,35,Lunawada
GJ,Gujarat,36,Morbi
GJ,Gujarat,37,Khambhaliya
GJ,Gujarat,38,Bavla
HP,Himachal Pradesh,1,Statewide (tourist buses & taxis)
HP,Himachal Pradesh,3,Shimlaÿ(Urban)
